No,Type,Time,Title
76,D,30,존잘 키 160cm\nvs\n평범 키 188cm
77,D,30,원하는 재능을\n하나만 가질 수 있다면?\n미술 vs 음악 vs 체육
78,D,30,매년 다른 도시로 이사 가기\nvs\n평생 한 군데서만 살기
79,D,30,초능력\n순간이동 vs 미래 예지 vs 염력
80,D,30,초능력2\n독심술 vs 분신술 vs 투명인간
81,D,30,떡볶이 국물엔\n순대 vs 튀김 vs 김밥
82,D,30,먼저라고 생각하는 것은?\n닭 vs 달걀
83,D,30,더 최악인 것은?\n환승이별 vs 잠수이별
84,D,30,야생에서 가장 만나기 싫은 동물은?\n호랑이 vs 사자 vs 곰
85,D,30,아포칼립스 세계관 중\n그나마 나은 것은?\n좀비 vs 핵 전쟁 vs 외계 침공
86,D,30,이성 취향 중\n단 하나만 고를 수 있다면?\n얼굴 vs 몸매 vs 성격
87,D,30,자기애가 지나쳐 자뻑만 하는 친구\nvs\n자존감이 낮아 항상 우울한 친구
88,D,30,평생 커피 금지\nvs\n평생 탄산음료 금지
89,D,30,지금 당장 1억 받기\nvs\n10년 후 10억 받기
90,D,30,갤럭시 vs 아이폰
91,D,30,1년 동안 이것만 가능하고\n다른 건 금지!\n유튜브 vs 인스타 vs 연모아
92,E,30,주민 중 가장\n화가 많을 것 같은 사람은?
93,E,30,주민 중 가장\n친구가 많을 것 같은 사람은?
94,E,30,주민 중 가장\nT 비율이 높을 것 같은 사람은?
95,E,30,주민 중 가장\n눈물이 많을 것 같은 사람은?
96,E,30,주민 중 절대로\n정모에 안 나올 것 같은 사람은?
97,E,30,주민 중 스플래툰3 플레이 타임이\n가장 길 것 같은 사람은?
98,E,30,주민 중 무인도에서 혼자서도\n잘 살아남을 것 같은 사람은?
99,E,30,주민 중 어린 시절\n가장 금쪽이었을 것 같은 사람은?
100,E,30,주민 중 환불을 가장\n잘 받아낼 것 같은 사람은?
101,E,30,주민 중 살인마가 등장하는\n공포영화 세계관 속에서\n가장 먼저 죽을 것 같은 사람은?
102,E,30,주민 중 오징어게임에 참가했을 때\n가장 오래 살아남을 것 같은 사람은?
103,E,30,주민 중 연예인으로 데뷔하면\n가장 성공할 것 같은 사람은?
104,E,30,주민 중 사기를 잘 당할 것\n같은 사람은?
105,E,30,반대로 절대 사기를\n안 당할 것 같은 사람은?
106,E,30,주민 중 가장 비밀이\n많을 것 같은 사람은?
107,E,30,주민 중 가장 웃긴 사람은?
108,E,30,주민 중 주먹 일짱일 것\n같은 사람은?
109,E,30,주민 중 가장 트렌드 리더일\n것 같은 사람은?
110,E,30,주민 중 핸드폰 중독이\n가장 심할 것 같은 사람은?
111,E,30,연모아 하면 떠오르는 색깔은?
112,E,30,연모아 하면 떠오르는 계절은?
113,E,30,연모아 매니저 중 가장 체력이\n저질일 것 같은 사람은?
114,E,30,연모아 매니저 중 가장 마음이\n연약할 것 같은 사람은?
115,E,30,연모아 매니저 중 가장 단호할\n것 같은 사람은?
116,E,30,연모아 매니저 중 제일 일 안 할 것\n같은 사람은? (게으른 사람)
117,E,30,연모아 매니저 중 일을 제일 잘 할 것\n같은 사람은? (양 말고 질)
118,E,30,연모아 매니저 중 운동을 제일\n잘 할 것 같은 사람은?
119,E,30,연모아 매니저 중 가장 노래를\n잘 할 것 같은 사람은?
120,E,30,연모아 매니저 셋이 현피를\n뜨면 이길 것 같은 사람은?
121,E,30,연모아 매니저 중 가장\n연애고수일 것 같은 사람은?
122,E,30,연모아 매니저 중 유혹에 가장\n취약할 것 같은 사람은?
123,E,30,연모아 매니저 중 가장\n법 없이도 살 것 같은 사람은?
124,E,30,매니저 각각의\n혈액형 예상해보기
125,E,30,매니저 각각의\nmbti 예상해보기
126,E,30,매니저들에게 티니핑\n별명을 붙여보자
127,E,30,매니저들의 이미지와\n어울리는 동물을 골라본다면?
128,E,30,매니저들의 이미지와\n어울리는 영화 장르를 골라본다면?
129,E,30,연모아 매니저 중\n리더일 것 같은 사람은?
130,F,0,
131,G,0,
